ReviewId,Review,Liked,TextBlob,SentimentIntensityAnalyzer,LogisticRegression,SVC,RandomForestClassifier,SGDClassifier,MLPClassifier
993,the presentation of the food was awful.,0,0,0,0,0,0,0,0
859,Worst food/service I've had in a while.,0,0,0,0,0,0,0,0
298,Never again will I be dining at this place!,0,0,0,0,0,0,0,0
553,I guess maybe we went on an off night but it was disgraceful.,0,0,0,0,0,0,0,0
672,As a sushi lover avoid this place by all means.,0,0,1,0,0,0,0,0
971,The ambiance is not much better.,0,0,0,0,0,0,0,0
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,1,1,1,1,1,1,1
231,"If the food is not bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,1,1,0,0,0,0,0
306,"Will never, ever go back.",0,0,0,0,0,0,0,0
706,The atmosphere here is fun.,1,1,1,1,1,1,1,1
496,The pancake was also really good and pretty large at that.,1,1,1,1,1,1,1,1
558,All of the tapas dishes were delicious!,1,1,1,1,1,1,1,1
784,"The chains, which I'm no fan of, beat this place easily.",0,1,1,1,1,1,1,1
239,"Everyone is very attentive, providing excellent customer service.",1,1,1,1,1,1,1,1
578,The staff are also very friendly and efficient.,1,1,1,1,1,1,1,1
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,1,1,1,1,1,1,1
906,After the disappointing dinner we went elsewhere for dessert.,0,0,0,0,0,0,0,0
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,0,0,0,0,0,0,0
14,I was disgusted because I was pretty sure that was human hair.,0,0,1,0,0,0,0,0
77,The sweet potato fries were very good and seasoned well.,1,1,1,1,1,1,1,1
31,This was like the final blow!,0,0,1,0,1,0,0,1
481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,1,1,0,0,1,0,0
310,Fantastic food!,1,1,1,1,1,1,1,1
311,She ordered a toasted English muffin that came out untoasted.,0,0,0,1,0,1,1,1
883,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,1,1,1,0,0,1,1
788,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,1,1,1,0,1,1,1
45,The only thing I did like was the prime rib and dessert section.,1,0,1,1,1,1,1,1
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,1,1,1,1,1,1,1
760,"Food was good, service was good, Prices were good.",1,1,1,1,1,1,1,1
1,Crust is not good.,0,0,0,0,0,0,0,0
823,The crêpe was delicate and thin and moist.,1,0,1,1,1,1,1,1
710,"That said, our mouths and bellies were still quite pleased.",1,1,1,1,1,1,1,1
614,An absolute must visit!,1,1,0,0,0,0,0,0
790,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,1,0,0,0,0,0,0
408,Service was fantastic.,1,1,1,1,1,1,1,1
736,"Friend's pasta -- also bad, he barely touched it.",0,0,0,0,0,0,0,0
957,The real disappointment was our waiter.,0,0,0,0,0,0,0,0
366,My wife had the Lobster Bisque soup which was lukewarm.,0,0,0,0,0,0,0,0
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,1,1,0,0,0,0,0
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,1,1,1,1,1,1,1
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,1,1,1,1,1,1,1
996,Appetite instantly gone.,0,0,0,1,1,0,1,1
635,We were promptly greeted and seated.,1,0,1,1,1,1,1,1
698,"Needless to say, we will never be back here again.",0,0,0,0,0,0,0,0
251,There is nothing privileged about working/eating there.,0,0,0,0,0,0,0,0
783,Bland and flavorless is a good way of describing the barely tepid meat.,0,1,1,0,0,0,0,0
819,This place should honestly be blown up.,0,1,1,1,1,1,1,1
141,The waiter was not helpful or friendly and rarely checked on us.,0,1,0,0,1,1,0,1
316,"By this point, my friends and I had basically figured out this place was a joke and did not mind making it publicly and loudly known.",0,1,1,0,0,0,0,0
587,I hate those things as much as cheap quality black olives.,0,0,0,0,0,0,0,0
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,1,1,1,1,1,1,1
295,"You get incredibly fresh fish, prepared with care.",1,1,1,1,1,1,1,1
262,The restaurant atmosphere was exquisite.,1,1,0,1,1,1,1,1
432,Service is quick and friendly.,1,1,1,1,1,1,1,1
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,0,0,0,0,0,0,0
582,"If you look for authentic Thai food, go else where.",0,1,0,0,0,0,0,0
272,You can not beat that.,1,0,0,0,0,0,0,0
270,The Veggitarian platter is out of this world!,1,0,0,1,0,0,1,1
987,"It lacked flavor, seemed undercooked, and dry.",0,0,0,0,0,0,0,0
319,All the bread is made in-house!,1,0,0,1,1,1,1,1
569,I consider this theft.,0,0,0,1,1,0,1,1
643,Maybe if they were not cold they would have been somewhat edible.,0,1,0,0,0,0,0,0
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,0,0,0,0,0,0,0
202,The warm beer did not help.,0,1,0,0,0,0,0,0
413,I can assure you that you will not be disappointed.,1,0,1,0,0,1,0,0
196,The live music on Fridays totally blows.,0,1,0,0,0,0,0,0
264,The seafood was fresh and generous in portion.,1,1,1,1,1,1,1,1
531,This place is two thumbs up....way up.,1,0,0,1,1,1,1,1
252,The Greek dressing was very creamy and flavorful.,1,1,0,1,0,0,1,1
576,I swung in to give them a try but was deeply disappointed.,0,0,0,0,0,0,0,0
738,I love the decor with the Chinese calligraphy wall paper.,1,1,1,1,1,1,1,1
299,The food was excellent and service was very good.,1,1,1,1,1,1,1,1
740,The restaurant is very clean and has a family restaurant feel to it.,1,1,1,1,1,1,1,1
